Code	N°	English Name	Nom français	Alias	Age	Date	In langtags	Region	Lang	Notes	WSTech	NLCI	Microsoft	Other	Noto Sans	Noto Serif	WSTech
Takr	321	Takri, Ṭākrī, Ṭāṅkrī	tâkrî	Takri	6.1	2/6/2012	y								NotoSansTakri		
Tale	353	Tai Le	taï-le	Tai_Le	4	10/25/2004	y								NotoSansTaiLe		
Talu	354	New Tai Lue	nouveau taï-lue	New_Tai_Lue	4.1	6/21/2006	y				Nokyung				NotoSansNewTaiLue		Dai Banna SIL
Taml	346	Tamil	tamoul	Tamil	1.1	5/1/2004	y					TAML ThiruValluvar			NotoSansTamil	NotoSerifTamil	
Tang	520	Tangut	tangoute	Tangut	9	12/5/2016	y								NotoSansTangut		
Tavt	359	Tai Viet	taï viêt	Tai_Viet	5.2	6/1/2009	y				Tai Heritage Pro				NotoSansTaiViet		
Telu	340	Telugu	télougou	Telugu	1.1	5/1/2004	y								NotoSansTelugu	NotoSerifTelugu	
Teng	290	Tengwar	tengwar			5/1/2004											
Tfng	120	Tifinagh (Berber)	tifinagh (berbère)	Tifinagh	4.1	6/21/2006	y	MA					Ebrima		NotoSansTifinagh		
Tglg	370	Tagalog (Baybayin, Alibata)	tagal (baybayin, alibata)	Tagalog	3.2	2/23/2009	y								NotoSansTagalog		
Thaa	170	Thaana	thâna	Thaana	3	5/1/2004	y								NotoSansThaana		
Thai	352	Thai	thaï	Thai	1.1	5/1/2004	y								NotoSansThai	NotoSerifThai	
Tibt	330	Tibetan	tibétain	Tibetan	2	5/1/2004	y								NotoSansTibetan	NotoSerifTibetan	
Tirh	326	Tirhuta	tirhouta	Tirhuta	7	11/15/2014	y								NotoSansTirhuta		
Ugar	40	Ugaritic	ougaritique	Ugaritic	4	5/1/2004	y								NotoSansUgaritic		
Vaii	470	Vai	vaï	Vai	5.1	7/2/2007	y						Ebrima		NotoSansVai		
Visp	280	Visible Speech	parole visible			5/1/2004											
Wara	262	Warang Citi (Varang Kshiti)	warang citi	Warang_Citi	7	11/15/2014	y								NotoSansWarangCiti		
Wcho	283	Wancho	wantcho	Wancho	12	7/26/2017											
Wole	480	Woleai	woléaï			12/21/2010	y										
Xpeo	30	Old Persian	cunéiforme persépolitain	Old_Persian	4.1	6/21/2006	y								NotoSansOldPersian		
Xsux	20	Cuneiform, Sumero-Akkadian	cunéiforme suméro-akkadien	Cuneiform	5	10/10/2006	y								NotoSansCuneiform		
Yiii	460	Yi	yi	Yi	3	5/1/2004	y				Nuosu SIL				NotoSansYi		
Zanb	339	Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)	zanabazar quadratique	Zanabazar_Square	10	7/26/2017											
Zinh	994	Code for inherited script	codet pour écriture héritée	Inherited		2/23/2009											
Zmth	995	Mathematical notation	notation mathématique		3.2	11/26/2007											
Zsye	993	Symbols (Emoji variant)	symboles (variante émoji)		6	12/16/2015											
Zsym	996	Symbols	symboles		1.1	11/26/2007											
Zxxx	997	Code for unwritten documents	codet pour les documents non écrits			6/21/2011	y										
Zyyy	998	Code for undetermined script	codet pour écriture indéterminée	Common		5/29/2004	y										
Zzzz	999	Code for uncoded script	codet pour écriture non codée	Unknown		10/10/2006											
